"SN","Response","RT","Pair"
"16",-1,2150,10
"16",1,1120.89999999404,14
"16",1,1307.80000000299,9
"16",1,2912.29999999404,8
"16",1,1604.00000000297,7
"16",-1,2068.29999999405,12
"34",1,16083.2,12
"34",-1,8664.59999980927,2
"34",1,3422.69999980927,9
"34",1,1804.9,4
"34",-1,3773.9,3
"34",1,2351.19999985695,8
"34",1,1560.59999980927,1
"34",1,2202.4,5
"34",1,4194.59999980927,7
"34",-1,2876.29999980926,14
"34",1,2849.09999990463,10
"34",1,3176.2,11
"34",-1,2761.39999995232,18
"34",-1,2354.79999990463,17
"34",1,1533.19999999998,13
"34",1,2080.2,6
"34",1,2653.29999985694,15
"34",-1,3948,16
"34",2,2054.99999980927,21
"34",2,1548.09999985695,20
"34",1,1951.69999980926,19
"34",1,1192.89999985695,17
"34",2,2338.60000000001,1
"34",1,2533.09999999999,7
"34",1,1735.89999990464,16
"34",1,2058.59999990463,2
"34",1,1912.5,11
"34",-1,1693.5,15
"34",1,1778.19999985695,9
"34",1,2002.39999985695,5
"34",-1,2700,18
"34",-1,3624.29999985694,8
"34",1,2143.59999985695,13
"34",1,2810.29999995232,10
"34",1,2137.49999990463,14
"34",-1,2245.09999985696,4
"34",1,2187.59999980926,3
"34",-1,3116.19999990464,12
"34",-1,2111.69999990464,6
"38",-1,14809.0000000954,11
"38",2,2839.89999990463,13
"38",1,3222.19999990463,6
"38",1,1750,17
"38",1,9008.49999995232,18
"38",1,6639.8,2
"38",1,1694.7,8
"38",-2,2260.3,10
"38",-2,1185.39999990464,7
"38",2,1890.69999990463,4
"38",1,3295.8,14
"38",-1,1844.09999990463,3
"38",1,3163.10000009536,12
"38",-1,3261.10000009536,1
"38",1,1523.00000004769,5
"38",1,1669.60000000001,9
"38",-1,2868.09999990463,16
"38",-1,1608.3,15
"38",1,3616.59999999999,21
"38",-1,1552.79999995232,20
"38",-2,1931.70000004768,19
"38",1,4230.60000004768,16
"38",1,1549.2,12
"38",1,2624.19999990464,15
"38",2,2056.10000004768,11
"38",-1,3638.19999995231,5
"38",1,1964.69999990464,8
"38",-2,1494.89999995232,4
"38",-2,2667.70000009537,6
"38",1,2032.99999995231,1
"38",1,2432.50000009537,10
"38",1,1086.89999999999,13
"38",-1,2036.30000004769,17
"38",1,979.20000009537,18
"38",-1,4708.60000009536,2
"38",-1,5208.90000004768,9
"38",1,2152.5999999523,14
"38",2,1298.49999990463,7
"38",1,5823.60000000001,3
"50",-1,16319.8999999046,2
"50",1,2249.9,10
"50",1,1305.29999995232,5
"50",-1,1668.79999995232,9
"50",1,2314.19999985695,4
"50",1,2134.60000004769,3
"50",-1,1248.89999995231,14
"50",2,1047.89999990464,13
"50",1,1414.70000004768,7
"50",-2,1174.29999995232,11
"50",-2,1280.10000004769,18
"50",1,1356.79999990463,15
"50",1,2375.69999985695,1
"50",1,1240.19999990463,8
"50",-1,1383.29999985695,16
"50",1,1208.79999990463,6
"50",1,2488.40000004768,17
"50",1,3093.79999995232,12
"50",-2,1002.2,21
"50",1,969.699999999997,20
"50",-1,1195.39999985695,19
"50",1,1115.90000004768,7
"50",1,1855.59999985695,16
"50",-1,1389.59999985695,12
"50",1,3511.09999990463,5
"50",1,1186.5,1
"50",-1,2715.69999990464,3
"50",-2,1871.59999985695,4
"50",1,1036.79999995232,8
"50",-2,1324.00000004769,17
