SN,Matching,Label,Response,Correct,RT
7,Nonmatch,Self,Nonmatch,1,727.1999999999971
7,Match,Stranger,Match,1,887.2999999880849
7,Match,Stranger,Match,1,541.1999999910622
7,Nonmatch,Stranger,Nonmatch,1,607.9999999999854
7,Match,Self,Match,1,543.0999999940395
7,Nonmatch,Stranger,Nonmatch,1,650.8000000000029
7,Nonmatch,Stranger,Nonmatch,1,676.7999999940366
7,Match,Self,Match,1,619.699999997014
7,Match,Self,Match,1,477.1000000000058
7,Nonmatch,Stranger,Nonmatch,1,528.5999999910564
7,Nonmatch,Stranger,Match,0,966.8000000000176
7,Match,Self,Match,1,777.1999999940454
7,Nonmatch,Self,Nonmatch,1,740.0999999970227
7,Match,Self,Match,1,664
7,Match,Stranger,Match,1,756.3999999940424
7,Match,Stranger,Match,1,581.499999988082
7,Match,Self,Match,1,757.3999999910593
7,Nonmatch,Stranger,Nonmatch,1,798.8999999970256
7,Match,Self,Match,1,610.7999999940366
7,Match,Stranger,Match,1,713.1999999910622
7,Match,Self,Match,1,476.6999999880791
7,Nonmatch,Stranger,Nonmatch,1,786.6000000000058
7,Match,Self,Match,1,435.3999999999942
7,Match,Stranger,Match,1,652.6999999910477
7,Nonmatch,Stranger,Nonmatch,1,765.3999999880907
7,Match,Self,Match,1,543.9999999940337
7,Nonmatch,Self,Match,0,354
7,Nonmatch,Stranger,Nonmatch,1,828.7999999940512
7,Nonmatch,Self,Nonmatch,1,1452.3999999999942
7,Nonmatch,Self,Nonmatch,1,1101.0999999940395
7,Nonmatch,Self,Nonmatch,1,694.4999999970314
7,Nonmatch,Stranger,Match,0,710.3999999880907
7,Match,Self,Match,1,611.8999999999942
7,Nonmatch,Self,Nonmatch,1,607.7999999940512
7,Nonmatch,Self,Nonmatch,1,545.2000000000116
7,Nonmatch,Stranger,Nonmatch,1,643.3999999970256
7,Match,Self,Match,1,587.8999999999942
7,Nonmatch,Self,Nonmatch,1,607.9999999910651
7,Match,Stranger,Match,1,887.5000000000291
7,Nonmatch,Self,Nonmatch,1,803.8999999999942
7,Nonmatch,Self,Nonmatch,1,702.0999999940395
7,Nonmatch,Self,Nonmatch,1,418.3999999880907
7,Nonmatch,Self,Nonmatch,1,589.3999999940279
7,Match,Stranger,Match,1,660.7999999970198
