loc1,loc2,suffix,Label,angle1,angle2,angle3,probeAngle,subject
1,2,5,1,119.4773655,56.3215098,144.3049026,125.3307486,2
3,1,4,1,116.2533798,37.67812062,153.9942809,33.60314012,2
2,1,5,2,141.0430587,120.279732,67.49965739,146.248744,2
3,1,5,3,138.2875086,32.00185106,114.5631942,153.5494481,2
2,3,4,3,60.49933826,112.9587538,35.11283699,121.2953867,2
1,2,4,2,124.8816812,159.8245073,18.1190698,160.1636499,2
2,1,4,1,146.4152711,40.09746612,120.3879139,26.05260125,2
3,2,4,2,164.2747024,109.0078489,58.15486673,104.0978596,2
2,3,5,3,65.45079727,115.037622,34.92293708,113.7893197,2
2,1,5,2,112.8826684,32.42776365,53.43205457,118.4719967,2
3,2,5,2,146.2247182,122.8992521,39.69740024,128.6553034,2
2,1,5,1,122.3245378,20.24277631,50.34284601,25.20413632,2
3,2,4,3,70.04400138,155.0000922,49.02051984,58.3352706,2
1,2,4,2,108.8756568,22.8394148,155.7642258,23.612779,2
3,2,5,3,160.4268121,51.90131011,21.92858767,158.0612945,2
2,1,5,2,130.4111238,150.7045196,72.54766706,117.0367968,2
2,3,4,3,143.3386789,120.3394383,45.76577747,114.5430182,2
1,2,4,2,32.27246665,146.4477999,63.47083721,149.7050379,2
1,3,5,1,54.85404751,126.3695314,28.68354979,50.42727406,2
1,2,4,1,35.59852509,150.6852225,115.751825,30.10300234,2
1,2,5,1,47.15847798,109.4044854,134.3663346,40.78797414,2
2,3,4,2,23.43102775,45.63162931,142.0353272,20.77817075,2
1,3,4,3,111.3857473,40.85570216,135.0002269,33.04150635,2
1,3,4,1,24.05264356,113.8432499,45.49978743,23.96728666,2
3,1,5,3,15.4120002,111.2710147,74.35121643,18.21812548,2
1,3,4,3,53.33137433,115.9306947,24.81164328,123.4279969,2
3,1,5,1,127.064873,73.27109459,163.7263436,61.35137022,2
2,3,5,2,55.7312185,152.7091984,17.87497696,48.66991517,2
3,1,5,3,35.16357607,134.7392705,71.08528899,38.46320123,2
3,1,4,1,139.311429,71.95273966,163.6861619,65.41638892,2
2,3,5,3,155.9583326,111.0162461,21.31854331,129.5793576,2
2,1,4,1,158.33026,66.64523555,127.6270618,55.48468274,2
3,1,4,3,73.5388405,25.85730618,133.1735497,57.67953037,2
1,3,5,1,41.81617397,72.18313864,18.17012903,34.72584607,2
1,3,5,3,37.9122219,156.8221464,134.4591193,161.6068077,2
2,1,5,2,114.1405395,158.5266516,15.00440066,117.4375464,2
3,2,4,2,63.76490723,117.5694555,31.95639276,125.5377295,2
3,2,4,3,45.73869361,125.3569154,15.6863159,39.21803829,2
3,2,5,3,34.39193103,123.824159,55.88698926,32.69254128,2
2,3,5,2,117.2835778,28.64748663,50.87995597,119.7900222,2
1,2,5,1,114.3844849,45.37223531,69.69269211,121.2380676,2
